2018-11-19 17:02:55.750---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/log/delLog]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.LogController.delLog()
2018-11-19 17:02:55.751---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/],methods=[GET]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.LoginController.index(org.springframework.ui.Model)
2018-11-19 17:02:55.751---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[POST]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.LoginController.loginVali()
2018-11-19 17:02:55.751---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.LoginController.login()
2018-11-19 17:02:55.751---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/logout],methods=[GET]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.LoginController.logOut()
2018-11-19 17:02:55.752---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/loginLog]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.LoginLogController.index()
2018-11-19 17:02:55.752---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/loginLog/list]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.LoginLogController.list(java.lang.String,java.lang.String,java.lang.String)
2018-11-19 17:02:55.752---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/loginLog/delLoginLog]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.LoginLogController.delLog()
2018-11-19 17:02:55.753---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.MenuController.index()
2018-11-19 17:02:55.753---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/add]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.MenuController.add(com.stylefeng.guns.common.persistence.model.Menu,org.springframework.validation.BindingResult)
2018-11-19 17:02:55.753---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/remove]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.MenuController.remove(java.lang.Integer)
2018-11-19 17:02:55.754---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/list]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.MenuController.list(java.lang.String,java.lang.String)
2018-11-19 17:02:55.754---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/menuTreeListByRoleId/{roleId}]}" onto public java.util.List<com.stylefeng.guns.common.node.ZTreeNode> com.stylefeng.guns.modular.system.controller.MenuController.menuTreeListByRoleId(java.lang.Integer)
2018-11-19 17:02:55.754---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/selectMenuTreeList]}" onto public java.util.List<com.stylefeng.guns.common.node.ZTreeNode> com.stylefeng.guns.modular.system.controller.MenuController.selectMenuTreeList()
2018-11-19 17:02:55.754---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/view/{menuId}]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.MenuController.view(java.lang.Integer)
2018-11-19 17:02:55.755---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/menuTreeList]}" onto public java.util.List<com.stylefeng.guns.common.node.ZTreeNode> com.stylefeng.guns.modular.system.controller.MenuController.menuTreeList()
2018-11-19 17:02:55.755---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/menu_add]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.MenuController.menuAdd()
2018-11-19 17:02:55.755---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/menu_edit/{menuId}]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.MenuController.menuEdit(java.lang.Integer,org.springframework.ui.Model)
